lookup,School DBN,SchoolName,SchoolType,SchoolLevel,Regents Exam,Year,Total Tested,Mean Score,Number Scoring Below 65,Percent Scoring Below 65,Number Scoring 65 or Above,Percent Scoring 65 or Above,Number Scoring 80 or Above,Percent Scoring 80 or Above,Number Scoring CR,Percent Scoring CR
02M3942015Common Core Geometry,02M394,Emma Lazarus High School,Transfer School,High school,Common Core Geometry,2015,8,77.4,1,12.5,7,87.5,4,50.0,5,62.5
02M3942016Common Core Geometry,02M394,Emma Lazarus High School,Transfer School,High school,Common Core Geometry,2016,65,68.6,28,43.1,37,56.9,17,26.2,32,49.2
02M3942017Common Core Geometry,02M394,Emma Lazarus High School,Transfer School,High school,Common Core Geometry,2017,62,75.7,8,12.9,54,87.1,29,46.8,43,69.4
02M3942015English,02M394,Emma Lazarus High School,Transfer School,High school,English,2015,70,76.1,7,10.0,63,90.0,29,41.4,41,58.6
02M3942016English,02M394,Emma Lazarus High School,Transfer School,High school,English,2016,24,69.4,5,20.8,19,79.2,4,16.7,7,29.2
02M3942015Geometry,02M394,Emma Lazarus High School,Transfer School,High school,Geometry,2015,49,79.7,8,16.3,41,83.7,24,49.0,24,49.0
02M3942016Geometry,02M394,Emma Lazarus High School,Transfer School,High school,Geometry,2016,39,76.3,5,12.8,34,87.2,14,35.9,14,35.9
02M3942015Global History and Geography,02M394,Emma Lazarus High School,Transfer School,High school,Global History and Geography,2015,53,71.9,17,32.1,36,67.9,20,37.7,na,na
02M3942016Global History and Geography,02M394,Emma Lazarus High School,Transfer School,High school,Global History and Geography,2016,90,74.4,21,23.3,69,76.7,35,38.9,na,na
02M3942017Global History and Geography,02M394,Emma Lazarus High School,Transfer School,High school,Global History and Geography,2017,96,71.5,29,30.2,67,69.8,33,34.4,na,na
02M3942015Integrated Algebra,02M394,Emma Lazarus High School,Transfer School,High school,Integrated Algebra,2015,62,83.8,3,4.8,59,95.2,46,74.2,46,74.2
02M3942016Integrated Algebra,02M394,Emma Lazarus High School,Transfer School,High school,Integrated Algebra,2016,2,s,s,s,s,s,s,s,na,na
02M3942015Living Environment,02M394,Emma Lazarus High School,Transfer School,High school,Living Environment,2015,61,73.1,11,18.0,50,82.0,19,31.1,na,na
02M3942016Living Environment,02M394,Emma Lazarus High School,Transfer School,High school,Living Environment,2016,92,76.8,14,15.2,78,84.8,40,43.5,na,na
02M3942017Living Environment,02M394,Emma Lazarus High School,Transfer School,High school,Living Environment,2017,73,75.8,11,15.1,62,84.9,26,35.6,na,na
02M3942016Physical Settings/Chemistry,02M394,Emma Lazarus High School,Transfer School,High school,Physical Settings/Chemistry,2016,16,51.6,15,93.8,1,6.3,0,0.0,na,na
02M3942017Physical Settings/Chemistry,02M394,Emma Lazarus High School,Transfer School,High school,Physical Settings/Chemistry,2017,11,63.2,7,63.6,4,36.4,2,18.2,na,na
02M3942015Physical Settings/Earth Science,02M394,Emma Lazarus High School,Transfer School,High school,Physical Settings/Earth Science,2015,65,76.8,9,13.8,56,86.2,28,43.1,na,na
02M3942016Physical Settings/Earth Science,02M394,Emma Lazarus High School,Transfer School,High school,Physical Settings/Earth Science,2016,57,70.9,22,38.6,35,61.4,20,35.1,na,na
02M3942017Physical Settings/Earth Science,02M394,Emma Lazarus High School,Transfer School,High school,Physical Settings/Earth Science,2017,78,79.0,9,11.5,69,88.5,41,52.6,na,na
02M3942015U.S. History and Government,02M394,Emma Lazarus High School,Transfer School,High school,U.S. History and Government,2015,58,91.8,1,1.7,57,98.3,52,89.7,na,na
02M3942016U.S. History and Government,02M394,Emma Lazarus High School,Transfer School,High school,U.S. History and Government,2016,45,88.6,1,2.2,44,97.8,36,80.0,na,na
02M3942017U.S. History and Government,02M394,Emma Lazarus High School,Transfer School,High school,U.S. History and Government,2017,68,89.0,1,1.5,67,98.5,61,89.7,na,na
02M3992015Algebra2/Trigonometry,02M399,The High School For Language And Diplomacy,General Academic,High school,Algebra2/Trigonometry,2015,68,48.8,56,82.4,12,17.6,6,8.8,6,8.8
02M3992016Algebra2/Trigonometry,02M399,The High School For Language And Diplomacy,General Academic,High school,Algebra2/Trigonometry,2016,78,56.5,50,64.1,28,35.9,11,14.1,11,14.1
02M3992017Algebra2/Trigonometry,02M399,The High School For Language And Diplomacy,General Academic,High school,Algebra2/Trigonometry,2017,14,44.9,13,92.9,1,7.1,1,7.1,1,7.1
02M3992015Common Core Algebra,02M399,The High School For Language And Diplomacy,General Academic,High school,Common Core Algebra,2015,137,63.8,65,47.4,72,52.6,3,2.2,38,27.7
02M3992016Common Core Algebra,02M399,The High School For Language And Diplomacy,General Academic,High school,Common Core Algebra,2016,200,66.8,69,34.5,131,65.5,19,9.5,88,44.0
02M3992017Common Core Algebra,02M399,The High School For Language And Diplomacy,General Academic,High school,Common Core Algebra,2017,159,67.0,56,35.2,103,64.8,28,17.6,76,47.8
02M3992016Common Core Algebra2,02M399,The High School For Language And Diplomacy,General Academic,High school,Common Core Algebra2,2016,51,61.2,26,51.0,25,49.0,0,0.0,25,49.0
02M3992017Common Core Algebra2,02M399,The High School For Language And Diplomacy,General Academic,High school,Common Core Algebra2,2017,59,64.6,29,49.2,30,50.8,6,10.2,30,50.8
02M3992015Common Core English,02M399,The High School For Language And Diplomacy,General Academic,High school,Common Core English,2015,25,65.2,8,32.0,17,68.0,5,20.0,8,32.0
02M3992016Common Core English,02M399,The High School For Language And Diplomacy,General Academic,High school,Common Core English,2016,138,74.1,25,18.1,113,81.9,65,47.1,80,58.0
02M3992017Common Core English,02M399,The High School For Language And Diplomacy,General Academic,High school,Common Core English,2017,113,69.9,24,21.2,89,78.8,37,32.7,54,47.8
02M3992015Common Core Geometry,02M399,The High School For Language And Diplomacy,General Academic,High school,Common Core Geometry,2015,60,59.7,38,63.3,22,36.7,2,3.3,15,25.0
02M3992016Common Core Geometry,02M399,The High School For Language And Diplomacy,General Academic,High school,Common Core Geometry,2016,86,58.4,51,59.3,35,40.7,5,5.8,19,22.1
02M3992017Common Core Geometry,02M399,The High School For Language And Diplomacy,General Academic,High school,Common Core Geometry,2017,103,56.6,77,74.8,26,25.2,4,3.9,16,15.5
02M3992015English,02M399,The High School For Language And Diplomacy,General Academic,High school,English,2015,98,68.9,24,24.5,74,75.5,21,21.4,38,38.8
02M3992016English,02M399,The High School For Language And Diplomacy,General Academic,High school,English,2016,15,59.7,7,46.7,8,53.3,2,13.3,3,20.0
02M3992015Geometry,02M399,The High School For Language And Diplomacy,General Academic,High school,Geometry,2015,70,68.4,27,38.6,43,61.4,18,25.7,18,25.7
02M3992016Geometry,02M399,The High School For Language And Diplomacy,General Academic,High school,Geometry,2016,9,51.8,8,88.9,1,11.1,0,0.0,0,0.0
02M3992015Global History and Geography,02M399,The High School For Language And Diplomacy,General Academic,High school,Global History and Geography,2015,131,64.9,53,40.5,78,59.5,30,22.9,na,na
02M3992016Global History and Geography,02M399,The High School For Language And Diplomacy,General Academic,High school,Global History and Geography,2016,160,67.7,63,39.4,97,60.6,36,22.5,na,na
02M3992017Global History and Geography,02M399,The High School For Language And Diplomacy,General Academic,High school,Global History and Geography,2017,126,63.0,60,47.6,66,52.4,15,11.9,na,na
02M3992015Integrated Algebra,02M399,The High School For Language And Diplomacy,General Academic,High school,Integrated Algebra,2015,156,69.2,42,26.9,114,73.1,20,12.8,20,12.8
02M3992016Integrated Algebra,02M399,The High School For Language And Diplomacy,General Academic,High school,Integrated Algebra,2016,4,s,s,s,s,s,s,s,na,na
02M3992015Living Environment,02M399,The High School For Language And Diplomacy,General Academic,High school,Living Environment,2015,130,72.1,30,23.1,100,76.9,39,30.0,na,na
02M3992016Living Environment,02M399,The High School For Language And Diplomacy,General Academic,High school,Living Environment,2016,129,68.7,41,31.8,88,68.2,26,20.2,na,na
02M3992017Living Environment,02M399,The High School For Language And Diplomacy,General Academic,High school,Living Environment,2017,97,67.3,36,37.1,61,62.9,23,23.7,na,na
02M3992015Physical Settings/Chemistry,02M399,The High School For Language And Diplomacy,General Academic,High school,Physical Settings/Chemistry,2015,24,60.5,17,70.8,7,29.2,2,8.3,na,na
02M3992016Physical Settings/Chemistry,02M399,The High School For Language And Diplomacy,General Academic,High school,Physical Settings/Chemistry,2016,38,59.6,25,65.8,13,34.2,1,2.6,na,na
02M3992017Physical Settings/Chemistry,02M399,The High School For Language And Diplomacy,General Academic,High school,Physical Settings/Chemistry,2017,38,53.8,30,78.9,8,21.1,0,0.0,na,na
02M3992015Physical Settings/Earth Science,02M399,The High School For Language And Diplomacy,General Academic,High school,Physical Settings/Earth Science,2015,106,63.3,54,50.9,52,49.1,14,13.2,na,na
02M3992016Physical Settings/Earth Science,02M399,The High School For Language And Diplomacy,General Academic,High school,Physical Settings/Earth Science,2016,140,58.8,81,57.9,59,42.1,13,9.3,na,na
02M3992017Physical Settings/Earth Science,02M399,The High School For Language And Diplomacy,General Academic,High school,Physical Settings/Earth Science,2017,71,59.8,42,59.2,29,40.8,11,15.5,na,na
02M3992017Physical Settings/Physics,02M399,The High School For Language And Diplomacy,General Academic,High school,Physical Settings/Physics,2017,16,63.8,8,50.0,8,50.0,2,12.5,na,na
02M3992015U.S. History and Government,02M399,The High School For Language And Diplomacy,General Academic,High school,U.S. History and Government,2015,112,68.2,34,30.4,78,69.6,28,25.0,na,na
02M3992016U.S. History and Government,02M399,The High School For Language And Diplomacy,General Academic,High school,U.S. History and Government,2016,114,67.4,33,28.9,81,71.1,25,21.9,na,na
02M3992017U.S. History and Government,02M399,The High School For Language And Diplomacy,General Academic,High school,U.S. History and Government,2017,118,71.9,33,28.0,85,72.0,40,33.9,na,na
02M4002015Algebra2/Trigonometry,02M400,High School for Environmental Studies,General Academic,High school,Algebra2/Trigonometry,2015,180,64.2,88,48.9,92,51.1,44,24.4,44,24.4
02M4002016Algebra2/Trigonometry,02M400,High School for Environmental Studies,General Academic,High school,Algebra2/Trigonometry,2016,191,48.6,152,79.6,39,20.4,6,3.1,6,3.1
02M4002017Algebra2/Trigonometry,02M400,High School for Environmental Studies,General Academic,High school,Algebra2/Trigonometry,2017,63,54.7,44,69.8,19,30.2,4,6.3,4,6.3
02M4002015Common Core Algebra,02M400,High School for Environmental Studies,General Academic,High school,Common Core Algebra,2015,219,61.1,120,54.8,99,45.2,1,0.5,46,21.0
02M4002016Common Core Algebra,02M400,High School for Environmental Studies,General Academic,High school,Common Core Algebra,2016,349,67.3,124,35.5,225,64.5,49,14.0,164,47.0
02M4002017Common Core Algebra,02M400,High School for Environmental Studies,General Academic,High school,Common Core Algebra,2017,455,66.2,172,37.8,283,62.2,51,11.2,205,45.1
02M4002016Common Core Algebra2,02M400,High School for Environmental Studies,General Academic,High school,Common Core Algebra2,2016,160,55.1,102,63.8,58,36.3,8,5.0,58,36.3
02M4002017Common Core Algebra2,02M400,High School for Environmental Studies,General Academic,High school,Common Core Algebra2,2017,151,60.7,82,54.3,69,45.7,4,2.6,69,45.7
02M4002015Common Core English,02M400,High School for Environmental Studies,General Academic,High school,Common Core English,2015,1,s,s,s,s,s,s,s,na,na
02M4002016Common Core English,02M400,High School for Environmental Studies,General Academic,High school,Common Core English,2016,343,79.5,37,10.8,306,89.2,226,65.9,263,76.7
02M4002017Common Core English,02M400,High School for Environmental Studies,General Academic,High school,Common Core English,2017,341,76.1,61,17.9,280,82.1,195,57.2,233,68.3
02M4002015Common Core Geometry,02M400,High School for Environmental Studies,General Academic,High school,Common Core Geometry,2015,232,57.7,146,62.9,86,37.1,12,5.2,60,25.9
02M4002016Common Core Geometry,02M400,High School for Environmental Studies,General Academic,High school,Common Core Geometry,2016,165,63.9,75,45.5,90,54.5,19,11.5,57,34.5
02M4002017Common Core Geometry,02M400,High School for Environmental Studies,General Academic,High school,Common Core Geometry,2017,247,61.0,146,59.1,101,40.9,24,9.7,72,29.1
02M4002015English,02M400,High School for Environmental Studies,General Academic,High school,English,2015,332,72.5,65,19.6,267,80.4,119,35.8,187,56.3
02M4002016English,02M400,High School for Environmental Studies,General Academic,High school,English,2016,27,59.3,15,55.6,12,44.4,0,0.0,2,7.4
02M4002015Geometry,02M400,High School for Environmental Studies,General Academic,High school,Geometry,2015,238,65.0,106,44.5,132,55.5,46,19.3,46,19.3
02M4002016Geometry,02M400,High School for Environmental Studies,General Academic,High school,Geometry,2016,11,52.5,8,72.7,3,27.3,0,0.0,0,0.0
02M4002015Global History and Geography,02M400,High School for Environmental Studies,General Academic,High school,Global History and Geography,2015,388,66.9,165,42.5,223,57.5,124,32.0,na,na
02M4002016Global History and Geography,02M400,High School for Environmental Studies,General Academic,High school,Global History and Geography,2016,398,67.3,145,36.4,253,63.6,104,26.1,na,na
02M4002017Global History and Geography,02M400,High School for Environmental Studies,General Academic,High school,Global History and Geography,2017,364,63.7,177,48.6,187,51.4,73,20.1,na,na
02M4002015Integrated Algebra,02M400,High School for Environmental Studies,General Academic,High school,Integrated Algebra,2015,154,63.5,76,49.4,78,50.6,12,7.8,12,7.8
02M4002016Integrated Algebra,02M400,High School for Environmental Studies,General Academic,High school,Integrated Algebra,2016,14,62.5,6,42.9,8,57.1,1,7.1,1,7.1
02M4002015Living Environment,02M400,High School for Environmental Studies,General Academic,High school,Living Environment,2015,366,70.8,113,30.9,253,69.1,114,31.1,na,na
02M4002016Living Environment,02M400,High School for Environmental Studies,General Academic,High school,Living Environment,2016,287,69.9,86,30.0,201,70.0,83,28.9,na,na
02M4002017Living Environment,02M400,High School for Environmental Studies,General Academic,High school,Living Environment,2017,310,65.4,135,43.5,175,56.5,61,19.7,na,na
02M4002015Physical Settings/Chemistry,02M400,High School for Environmental Studies,General Academic,High school,Physical Settings/Chemistry,2015,132,65.7,62,47.0,70,53.0,21,15.9,na,na
02M4002016Physical Settings/Chemistry,02M400,High School for Environmental Studies,General Academic,High school,Physical Settings/Chemistry,2016,116,67.6,46,39.7,70,60.3,21,18.1,na,na
02M4002017Physical Settings/Chemistry,02M400,High School for Environmental Studies,General Academic,High school,Physical Settings/Chemistry,2017,106,56.2,83,78.3,23,21.7,1,0.9,na,na
02M4002015Physical Settings/Earth Science,02M400,High School for Environmental Studies,General Academic,High school,Physical Settings/Earth Science,2015,146,63.4,78,53.4,68,46.6,15,10.3,na,na
02M4002016Physical Settings/Earth Science,02M400,High School for Environmental Studies,General Academic,High school,Physical Settings/Earth Science,2016,139,56.7,88,63.3,51,36.7,12,8.6,na,na
02M4002017Physical Settings/Earth Science,02M400,High School for Environmental Studies,General Academic,High school,Physical Settings/Earth Science,2017,161,57.6,96,59.6,65,40.4,19,11.8,na,na
02M4002015Physical Settings/Physics,02M400,High School for Environmental Studies,General Academic,High school,Physical Settings/Physics,2015,46,71.5,13,28.3,33,71.7,10,21.7,na,na
02M4002016Physical Settings/Physics,02M400,High School for Environmental Studies,General Academic,High school,Physical Settings/Physics,2016,39,67.2,15,38.5,24,61.5,5,12.8,na,na
02M4002017Physical Settings/Physics,02M400,High School for Environmental Studies,General Academic,High school,Physical Settings/Physics,2017,49,68.2,22,44.9,27,55.1,10,20.4,na,na
02M4002015U.S. History and Government,02M400,High School for Environmental Studies,General Academic,High school,U.S. History and Government,2015,322,79.7,51,15.8,271,84.2,200,62.1,na,na
02M4002016U.S. History and Government,02M400,High School for Environmental Studies,General Academic,High school,U.S. History and Government,2016,286,77.7,47,16.4,239,83.6,154,53.8,na,na
02M4002017U.S. History and Government,02M400,High School for Environmental Studies,General Academic,High school,U.S. History and Government,2017,293,74.3,69,23.5,224,76.5,135,46.1,na,na
02M4072015Common Core Algebra,02M407,Institute for Collaborative Education,General Academic,Secondary School,Common Core Algebra,2015,2,s,s,s,s,s,s,s,na,na
02M4072016Common Core Algebra,02M407,Institute for Collaborative Education,General Academic,Secondary School,Common Core Algebra,2016,6,74.8,1,16.7,5,83.3,3,50.0,4,66.7
02M4072017Common Core Algebra,02M407,Institute for Collaborative Education,General Academic,Secondary School,Common Core Algebra,2017,3,s,s,s,s,s,s,s,na,na
02M4072016Common Core English,02M407,Institute for Collaborative Education,General Academic,Secondary School,Common Core English,2016,59,84.0,4,6.8,55,93.2,50,84.7,54,91.5
